Parameter,Value,stl2,stc
branchPred.BTBEntries,2048,1640563,1646976
branchPred.BTBEntries,256,1640578,1646985
branchPred.BTBEntries,4096,1640563,1646977
branchPred.BTBEntries,1024,1640563,1646976
branchPred.BTBEntries,32,1640666,1647079
branchPred.BTBEntries,512,1640564,1646978
branchPred.BTBEntries,128,1640598,1647013
branchPred.BTBEntries,16,1640715,1650304
branchPred.BTBEntries,64,1640629,1647041
executeFuncUnits.funcUnits[7].opLat,1,1640662,1647068
executeFuncUnits.funcUnits[7].opLat,3,1640706,1647125
executeFuncUnits.funcUnits[7].opLat,2,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,7,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,3,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,2,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,8,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,5,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,6,1640666,1647079
executeFuncUnits.funcUnits[3].issueLat,4,1640666,1647079
executeFuncUnits.funcUnits[1].opLat,3,1640870,1647316
executeFuncUnits.funcUnits[1].opLat,2,1640717,1647166
executeFuncUnits.funcUnits[1].opLat,1,1640666,1647079
executeInputBufferSize,3,1640620,1647041
executeInputBufferSize,7,1640797,1647312
executeInputBufferSize,1,1640457,1645275
executeInputBufferSize,5,1640707,1647143
executeInputBufferSize,4,1640666,1647079
executeInputBufferSize,6,1640749,1647271
executeInputBufferSize,8,1640827,1647336
executeInputBufferSize,2,1640578,1645388
branchPred.indirectBranchPred.indirectPathLength,2,1640669,1647079
branchPred.indirectBranchPred.indirectPathLength,3,1640666,1647079
branchPred.indirectBranchPred.indirectPathLength,4,1640666,1647078
branchPred.indirectBranchPred.indirectPathLength,5,1640669,1647076
executeFuncUnits.funcUnits[3].opLat,5,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,8,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,3,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,2,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,4,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,6,1640666,1647079
executeFuncUnits.funcUnits[3].opLat,7,1640666,1647079
executeFuncUnits.funcUnits[6].opLat,3,1640742,1647145
executeFuncUnits.funcUnits[6].opLat,2,1640666,1647079
executeFuncUnits.funcUnits[6].opLat,1,1640589,1646980
executeFuncUnits.funcUnits[0].issueLat,1,1640666,1647079
executeFuncUnits.funcUnits[0].issueLat,2,1640716,1647129
executeFuncUnits.funcUnits[0].issueLat,3,1640724,1647145
executeFuncUnits.funcUnits[6].issueLat,1,1640666,1647079
executeFuncUnits.funcUnits[6].issueLat,3,1640696,1647107
executeFuncUnits.funcUnits[6].issueLat,2,1640691,1647102
executeFuncUnits.funcUnits[1].issueLat,3,1640711,1647120
executeFuncUnits.funcUnits[1].issueLat,1,1640666,1647079
executeFuncUnits.funcUnits[1].issueLat,2,1640693,1647105
executeBranchDelay,2,1640666,1647079
executeBranchDelay,1,1640536,1646934
executeBranchDelay,4,1641016,1647509
executeBranchDelay,3,1640855,1647264
executeFuncUnits.funcUnits[7].issueLat,2,1640691,1647105
executeFuncUnits.funcUnits[7].issueLat,1,1640666,1647079
executeFuncUnits.funcUnits[7].issueLat,3,1640698,1647112
executeFuncUnits.funcUnits[0].opLat,1,1640666,1647079
executeFuncUnits.funcUnits[0].opLat,3,1641046,1647474
executeFuncUnits.funcUnits[0].opLat,2,1640847,1647265
executeFuncUnits.funcUnits[2].issueLat,4,1640666,1647079
executeFuncUnits.funcUnits[2].issueLat,3,1640666,1647079
executeFuncUnits.funcUnits[2].issueLat,2,1640666,1647079
branchPred.indirectBranchPred.indirectWays,2,1640666,1647079
branchPred.indirectBranchPred.indirectWays,1,1640666,1647079
branchPred.indirectBranchPred.indirectWays,8,1640666,1647079
branchPred.indirectBranchPred.indirectWays,4,1640666,1647079
executeFuncUnits.funcUnits[2].opLat,2,1640666,1647079
executeFuncUnits.funcUnits[2].opLat,4,1640666,1647079
executeFuncUnits.funcUnits[2].opLat,3,1640666,1647079
branchPred.indirectBranchPred.indirectTagSize,8,1640666,1647079
branchPred.indirectBranchPred.indirectTagSize,32,1640645,1647052
branchPred.indirectBranchPred.indirectTagSize,16,1640666,1647079
branchPred.indirectBranchPred.indirectSets,1024,1640672,1647079
branchPred.indirectBranchPred.indirectSets,512,1640672,1647079
branchPred.indirectBranchPred.indirectSets,128,1640672,1647079
branchPred.indirectBranchPred.indirectSets,256,1640672,1647079
decodeCycleInput,True,1640666,1647079
decodeCycleInput,False,1640664,1647079
fetch1FetchLimit,2,1640666,1647079
fetch1FetchLimit,4,1640666,1647079
fetch1FetchLimit,1,1640666,1647079
threadPolicy,"""RoundRobin""",1640663,1647075
threadPolicy,"""SingleThreaded""",1640666,1647079
enableIdling,False,1640666,1647079
enableIdling,True,1640666,1647079
